year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,n_birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country,n_death_country,religion
1986,Physics,The Nobel Prize in Physics 1986,"""for his fundamental work in electron optics, and for the design of the first electron microscope""",1.פבר׳,127,Individual,Ernst Ruska,25.12.1906,Heidelberg,Germany,Germany,Male,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Federal Republic of Germany,27.5.1988,West Berlin,Germany,Germany,פרוטסטנט
1986,Physics,The Nobel Prize in Physics 1986,"""for their design of the scanning tunneling microscope""",1.אפר׳,128,Individual,Gerd Binnig,20.7.1947,Frankfurt-on-the-Main,West Germany (Germany),Germany,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,NA,NA,NA,NA,-
1986,Physics,The Nobel Prize in Physics 1986,"""for their design of the scanning tunneling microscope""",1.אפר׳,129,Individual,Heinrich Rohrer,6.6.1933,Buchs,Switzerland,Switzerland,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,16.5.2013,Wollerau,Switzerland,Switzerland,-
1987,Physics,The Nobel Prize in Physics 1987,"""for their important break-through in the discovery of superconductivity in ceramic materials""",1.פבר׳,130,Individual,J. Georg Bednorz,16.5.1950,Neuenkirchen,West Germany (Germany),Germany,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,NA,NA,NA,NA,פרוטסטנט
1987,Physics,The Nobel Prize in Physics 1987,"""for their important break-through in the discovery of superconductivity in ceramic materials""",1.פבר׳,131,Individual,K. Alexander Müller,20.4.1927,Basel,Switzerland,Switzerland,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,NA,NA,NA,NA,פרוטסטנט
1988,Physics,The Nobel Prize in Physics 1988,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",1.מרץ,134,Individual,Jack Steinberger,25.5.1921,Bad Kissingen,Germany,Germany,Male,CERN,Geneva,Switzerland,NA,NA,NA,NA,יהודי
1988,Physics,The Nobel Prize in Physics 1988,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",1.מרץ,132,Individual,Leon M. Lederman,15.7.1922,"New York, NY",United States of America,United States of America,Male,Fermi National Accelerator Laboratory,"Batavia, IL",United States of America,NA,NA,NA,NA,יהודי
1988,Physics,The Nobel Prize in Physics 1988,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",1.מרץ,133,Individual,Melvin Schwartz,2.11.1932,"New York, NY",United States of America,United States of America,Male,"Digital Pathways, Inc.","Mountain View, CA",United States of America,28.8.2006,"Twin Falls, ID",United States of America,United States of America,יהודי
1989,Physics,The Nobel Prize in Physics 1989,"""for the development of the ion trap technique""",1.אפר׳,137,Individual,Wolfgang Paul,10.8.1913,Lorenzkirch,Germany,Germany,Male,University of Bonn,Bonn,Federal Republic of Germany,7.12.1993,Bonn,Germany,Germany,פרוטסטנט
1989,Physics,The Nobel Prize in Physics 1989,"""for the development of the ion trap technique""",1.אפר׳,136,Individual,Hans G. Dehmelt,9.9.1922,Görlitz,Prussia (Germany),Germany,Male,University of Washington,"Seattle, WA",United States of America,NA,NA,NA,NA,פרוטסטנט
1989,Physics,The Nobel Prize in Physics 1989,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",1.פבר׳,135,Individual,Norman F. Ramsey,27.8.1915,"Washington, DC",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,4.11.2011,"Wayland, MA",United States of America,United States of America,פרוטסטנט
1990,Physics,The Nobel Prize in Physics 1990,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",1.מרץ,140,Individual,Richard E. Taylor,2.11.1929,"Medicine Hat, Alberta",Canada,Canada,Male,Stanford University,"Stanford, CA",United States of America,NA,NA,NA,NA,-
1990,Physics,The Nobel Prize in Physics 1990,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",1.מרץ,138,Individual,Jerome I. Friedman,28.3.1930,"Chicago, IL",United States of America,United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,NA,NA,NA,NA,יהודי
1990,Physics,The Nobel Prize in Physics 1990,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",1.מרץ,139,Individual,Henry W. Kendall,9.12.1926,"Boston, MA",United States of America,United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,15.2.1999,"Wakulla Springs State Park, FL",United States of America,United States of America,פרוטסטנט
1991,Physics,The Nobel Prize in Physics 1991,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers""",1.ינו׳,141,Individual,Pierre-Gilles de Gennes,24.10.1932,Paris,France,France,Male,Collège de France,Paris,France,18.5.2007,Orsay,France,France,-
1992,Physics,The Nobel Prize in Physics 1992,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber""",1.ינו׳,142,Individual,Georges Charpak,1.8.1924,Dabrovica,Poland,Poland,Male,École Supérieure de Physique et Chimie,Paris,France,29.9.2010,Paris,France,France,יהודי
1993,Physics,The Nobel Prize in Physics 1993,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation""",1.פבר׳,143,Individual,Russell A. Hulse,28.11.1950,"New York, NY",United States of America,United States of America,Male,Princeton University,"Princeton, NJ",United States of America,NA,NA,NA,NA,-
1993,Physics,The Nobel Prize in Physics 1993,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation""",1.פבר׳,144,Individual,Joseph H. Taylor Jr.,29.3.1941,"Philadelphia, PA",United States of America,United States of America,Male,Princeton University,"Princeton, NJ",United States of America,NA,NA,NA,NA,פרוטסטנט
1994,Physics,The Nobel Prize in Physics 1994,"""for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter; for the development of neutron spectroscopy""",1.פבר׳,145,Individual,Bertram N. Brockhouse,15.7.1918,"Lethbridge, Alberta",Canada,Canada,Male,McMaster University,"Hamilton, Ontario",Canada,13.10.2003,"Hamilton, Ontario",Canada,Canada,-
1994,Physics,The Nobel Prize in Physics 1994,"""for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter; for the development of the neutron diffraction technique""",1.פבר׳,146,Individual,Clifford G. Shull,23.9.1915,"Pittsburgh, PA",United States of America,United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,31.3.2001,"Medford, MA",United States of America,United States of America,פרוטסטנט
1995,Physics,The Nobel Prize in Physics 1995,"""for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter; for the discovery of the tau lepton""",1.פבר׳,147,Individual,Martin L. Perl,24.6.1927,"New York, NY",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,30.9.2014,"Palo Alto, CA",United States of America,United States of America,יהודי
1995,Physics,The Nobel Prize in Physics 1995,"""for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter; for the detection of the neutrino""",1.פבר׳,148,Individual,Frederick Reines,16.3.1918,"Paterson, NJ",United States of America,United States of America,Male,University of California,"Irvine, CA",United States of America,26.8.1998,"Orange, CA",United States of America,United States of America,יהודי
1996,Physics,The Nobel Prize in Physics 1996,"""for their discovery of superfluidity in helium-3""",1.מרץ,149,Individual,David M. Lee,20.1.1931,"Rye, NY",United States of America,United States of America,Male,Cornell University,"Ithaca, NY",United States of America,NA,NA,NA,NA,פרוטסטנט
1996,Physics,The Nobel Prize in Physics 1996,"""for their discovery of superfluidity in helium-3""",1.מרץ,150,Individual,Douglas D. Osheroff,1.8.1945,"Aberdeen, WA",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,NA,NA,NA,NA,יהודי
1996,Physics,The Nobel Prize in Physics 1996,"""for their discovery of superfluidity in helium-3""",1.מרץ,151,Individual,Robert C. Richardson,26.6.1937,"Washington, DC",United States of America,United States of America,Male,Cornell University,"Ithaca, NY",United States of America,19.2.2013,"Ithaca, NY",United States of America,United States of America,פרוטסטנט
1997,Physics,The Nobel Prize in Physics 1997,"""for development of methods to cool and trap atoms with laser light""",1.מרץ,153,Individual,Claude Cohen-Tannoudji,1.4.1933,Constantine,French Algeria (Algeria),Algeria,Male,Collège de France,Paris,France,NA,NA,NA,NA,יהודי
1997,Physics,The Nobel Prize in Physics 1997,"""for development of methods to cool and trap atoms with laser light""",1.מרץ,152,Individual,Steven Chu,28.2.1948,"St. Louis, MO",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,NA,NA,NA,NA,יהודי
1997,Physics,The Nobel Prize in Physics 1997,"""for development of methods to cool and trap atoms with laser light""",1.מרץ,154,Individual,William D. Phillips,5.11.1948,"Wilkes-Barre, PA",United States of America,United States of America,Male,National Institute of Standards and Technology,"Gaithersburg, MD",United States of America,NA,NA,NA,NA,-
1998,Physics,The Nobel Prize in Physics 1998,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",1.מרץ,157,Individual,Daniel C. Tsui,28.2.1939,Henan,China,China,Male,Princeton University,"Princeton, NJ",United States of America,NA,NA,NA,NA,פרוטסטנט
1998,Physics,The Nobel Prize in Physics 1998,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",1.מרץ,156,Individual,Horst L. Störmer,6.4.1949,Frankfurt-on-the-Main,West Germany (Germany),Germany,Male,Columbia University,"New York, NY",United States of America,NA,NA,NA,NA,-
1998,Physics,The Nobel Prize in Physics 1998,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",1.מרץ,155,Individual,Robert B. Laughlin,1.11.1950,"Visalia, CA",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,NA,NA,NA,NA,-
1999,Physics,The Nobel Prize in Physics 1999,"""for elucidating the quantum structure of electroweak interactions in physics""",1.פבר׳,158,Individual,Gerardus 't Hooft,5.7.1946,Den Helder,Netherlands,Netherlands,Male,Utrecht University,Utrecht,Netherlands,NA,NA,NA,NA,פרוטסטנט
1999,Physics,The Nobel Prize in Physics 1999,"""for elucidating the quantum structure of electroweak interactions in physics""",1.פבר׳,159,Individual,Martinus J.G. Veltman,27.6.1931,Waalwijk,Netherlands,Netherlands,Male,NA,Bilthoven,Netherlands,NA,NA,NA,NA,-
2000,Physics,The Nobel Prize in Physics 2000,"""for basic work on information and communication technology; for developing semiconductor heterostructures used in high-speed- and opto-electronics""",1.אפר׳,726,Individual,Zhores I. Alferov,15.3.1930,"Vitebsk, Belorussia",Union of Soviet Socialist Republics (Belarus),Belarus,Male,A.F. Ioffe Physico-Technical Institute,St. Petersburg,Russia,NA,NA,NA,NA,-
